"ID_sim","SNR","Method","Retention","Nonzero","Prediction"
"2 13","0.0851118720078079","RF","3","4","240.649712005807"
"2 14","0.0851118720078079","Lasso","0","0","345.376871550616"
"2 14","0.0851118720078079","Relaxed Lasso","0","0","345.395534833672"
"2 14","0.0851118720078079","RF","0","5","325.774042126451"
"2 15","0.0851118720078079","Lasso","1","1","368.59859113804"
"2 15","0.0851118720078079","Relaxed Lasso","1","1","369.099178900665"
"2 15","0.0851118720078079","RF","2","3","343.948067451008"
"2 16","0.0851118720078079","Lasso","0","1","307.793729387029"
"2 16","0.0851118720078079","Relaxed Lasso","0","1","308.422676888898"
"2 16","0.0851118720078079","RF","0","6","286.214529081973"
"2 17","0.0851118720078079","Lasso","3","7","364.940989154948"
"2 17","0.0851118720078079","Relaxed Lasso","1","1","366.038325727951"
"2 17","0.0851118720078079","RF","4","10","309.746132018816"
"2 18","0.0851118720078079","Lasso","1","10","332.393018356986"
"2 18","0.0851118720078079","Relaxed Lasso","1","10","333.570080012562"
"2 18","0.0851118720078079","RF","0","4","279.713538691894"
"2 19","0.0851118720078079","Lasso","1","1","346.658802899382"
"2 19","0.0851118720078079","Relaxed Lasso","1","7","346.682618254631"
"2 19","0.0851118720078079","RF","2","5","329.910750953992"
"2 20","0.0851118720078079","Lasso","5","13","412.416447504154"
"2 20","0.0851118720078079","Relaxed Lasso","5","11","389.11521681742"
"2 20","0.0851118720078079","RF","2","4","332.451289960528"
"2 21","0.0851118720078079","Lasso","1","6","353.131849801281"
"2 21","0.0851118720078079","Relaxed Lasso","1","5","353.539700775098"
"2 21","0.0851118720078079","RF","2","6","283.891663954556"
"2 22","0.0851118720078079","Lasso","1","2","318.598894016987"
"2 22","0.0851118720078079","Relaxed Lasso","1","10","316.375745279668"
"2 22","0.0851118720078079","RF","2","8","264.18945102571"
"2 23","0.0851118720078079","Lasso","1","4","340.302570711766"
"2 23","0.0851118720078079","Relaxed Lasso","1","1","339.144581968366"
"2 23","0.0851118720078079","RF","3","3","251.361935817995"
"2 24","0.0851118720078079","Lasso","0","0","352.260387564185"
"2 24","0.0851118720078079","Relaxed Lasso","0","0","351.946522656668"
"2 24","0.0851118720078079","RF","1","3","273.416930726433"
"2 25","0.0851118720078079","Lasso","2","5","311.1556934055"
"2 25","0.0851118720078079","Relaxed Lasso","0","1","311.272226375632"
"2 25","0.0851118720078079","RF","3","4","302.475405295744"
"2 26","0.0851118720078079","Lasso","1","6","428.976850646507"
"2 26","0.0851118720078079","Relaxed Lasso","1","2","429.719016780936"
"2 26","0.0851118720078079","RF","0","5","414.999534740209"
"2 27","0.0851118720078079","Lasso","2","5","386.534876400368"
"2 27","0.0851118720078079","Relaxed Lasso","1","1","387.434344662878"
"2 27","0.0851118720078079","RF","2","8","309.784330160636"
"2 28","0.0851118720078079","Lasso","0","1","288.836567286402"
"2 28","0.0851118720078079","Relaxed Lasso","0","1","290.768430755109"
"2 28","0.0851118720078079","RF","0","5","294.181829193909"
"2 29","0.0851118720078079","Lasso","1","2","403.030927439589"
"2 29","0.0851118720078079","Relaxed Lasso","1","1","403.189157327578"
"2 29","0.0851118720078079","RF","2","7","291.872467733701"
"2 30","0.0851118720078079","Lasso","1","1","477.177541944222"
"2 30","0.0851118720078079","Relaxed Lasso","1","1","477.860093346453"
"2 30","0.0851118720078079","RF","1","3","496.433283214262"
"2 31","0.0851118720078079","Lasso","1","6","335.255258350738"
"2 31","0.0851118720078079","Relaxed Lasso","0","5","305.440826309787"
"2 31","0.0851118720078079","RF","2","4","244.031018111772"
"2 32","0.0851118720078079","Lasso","0","0","325.967044422328"
"2 32","0.0851118720078079","Relaxed Lasso","0","0","323.435764281894"
"2 32","0.0851118720078079","RF","1","4","301.627101429452"
